w,seed,arm,horizon,collapsed,mean_S,converged_S,profit,final_value_loss,explained_variance
0.6,43,single,600000,0,167.67769306898117,10.8503882560879,444.1260000000003,1407.159502924129,0.5425442812155252
0.6,44,single,600000,1,0.0,0.0,-128.1,865.8853784789821,0.6420532436355583
0.6,45,single,600000,0,278.3532217144966,8.98633968879003,460.97000000000037,1445.5913385044507,0.6130943646934778
0.6,42,single,600000,0,100.12330114841461,11.105245777964592,353.1489,1483.283818292499,0.5986389861926198
0.6,46,single,600000,1,0.0,0.15432503819465637,-128.1,954.9300212348496,0.6038072381482689
0.6,47,single,600000,1,0.0,0.0,-128.1,882.210809535702,0.6337481081931033
0.6,48,single,600000,1,0.0,4.684750066697598,-128.1,1378.1996390902839,0.49280000089199594
0.6,50,single,600000,0,0.0,10.691437812894582,150.0128,1133.8195464621062,0.5460490175983058
0.6,49,single,600000,1,0.0,0.0,-128.1,829.924677161804,0.655351390515473
0.6,51,single,600000,0,212.70153671503067,9.38290200647898,460.97000000000037,1486.8578348893282,0.5766176195892733
0.6,52,single,600000,0,0.0,7.001347045600414,346.26109999999994,1449.0142716208627,0.583505943974156
0.6,53,single,600000,0,0.0,6.75884975977242,85.39040000000006,1415.6430794807145,0.4947193788489766
0.6,54,single,600000,0,190.71360677480698,10.337959750322625,463.1659999999999,1552.0462452435572,0.5991817418895383
0.6,55,single,600000,0,0.0,10.05885559185408,387.6131000000002,1607.3335606279513,0.6371943686026265
0.6,56,single,600000,0,0.0,8.625663534551858,281.8994999999999,1475.9858317502408,0.4851673849109906
0.6,57,single,600000,0,0.0,9.009931301698089,334.6412,1575.556052355527,0.6010577120165178
0.6,58,single,600000,0,0.0,7.71100535094738,-82.02749999999995,1399.7046358285618,0.5261493878023602
0.6,59,single,600000,0,0.0,5.439722191914916,341.7464999999999,1424.9585754524808,0.5139223421141584
0.6,60,single,600000,1,0.0,0.0,-128.1,898.9355435018903,0.6175639430257783
0.6,61,single,600000,1,0.0,0.0,-128.1,899.0183905993354,0.6208612173318608
0.7,42,single,600000,0,271.69626019895077,12.514034220296889,460.97000000000037,1662.4662333724257,0.6380293240160418
0.7,43,single,600000,0,216.42985194921494,10.640728042460978,460.97000000000037,1800.8402220778598,0.621390071851594
0.7,44,single,600000,1,0.0,0.0,-128.1,918.7315127692668,0.6812448853362459
0.7,45,single,600000,0,219.89461593329906,9.235179068055004,460.97000000000037,1569.859884046448,0.6807736325671095
0.7,46,single,600000,0,0.0,9.469609164539724,426.50000000000034,1600.7138886030011,0.611719774334764
0.7,47,single,600000,1,0.0,0.0,-128.1,940.6697281041207,0.6577491842949785
0.7,48,single,600000,0,216.74112230539322,8.478197147860191,460.97000000000037,1562.9833695375382,0.649121838674474
0.7,49,single,600000,0,221.75280563533306,10.765096373856068,460.97000000000037,1382.013582122271,0.6510304920574135
0.7,50,single,600000,0,0.0,8.020080165110993,403.19500000000033,1650.31285217676,0.6613951773882676
0.7,51,single,600000,0,254.30853292346,9.452469953731633,460.97000000000037,1617.9873395813272,0.6830703074802329
0.7,52,single,600000,0,188.05817514657974,13.623472899012267,464.17600000000004,1656.8291018903658,0.6360895717665632
0.7,53,single,600000,0,0.0,11.869417226081714,433.3124000000001,1731.1835305956579,0.5773092454245657
0.7,54,single,600000,0,0.0,10.970644800923765,461.19000000000034,1776.9469528127672,0.5986139476617347
0.7,55,single,600000,0,325.3055736422539,9.995026861084625,460.97000000000037,1668.707019774696,0.6310201633320038
0.7,56,single,600000,0,0.0,9.462296595424414,462.17440000000016,1637.1560358221868,0.5956993365745789
0.7,57,single,600000,0,261.80450432002544,8.883417014637962,460.97000000000037,1622.4916359439012,0.6864113452722067
