run_idx,w,seed,mean_reward,final_value_loss,final_explained_variance
0,0.0,42,-34.52197638272561,10.445043324653378,0.2601544188667046
1,0.0,43,-32.82646579374957,10.767953533033403,0.3027976529241066
2,0.0,44,-37.48827816791701,10.62010929546344,0.2766933262386334
3,0.0,45,-34.88529820236625,11.476296917271828,0.1838851870251068
4,0.0,46,-36.89646527746329,9.821576613554118,0.31764725384883175
5,0.0,47,-27.790802497940327,9.954618302411214,0.29364495805527885
7,0.0,49,-36.288257908307614,10.19566975850302,0.30149533425036834
6,0.0,48,-32.57516661297959,9.902982337999893,0.31645983062617755
8,0.0,50,-28.25940606180537,9.49006184840935,0.28890172797571223
10,0.0,52,-37.23836495705687,10.772836896353587,0.25959010523351606
9,0.0,51,-31.57239267802666,10.436399742140507,0.23121578668968015
12,0.0,54,-33.865029672152005,9.91339789519084,0.310505353629818
11,0.0,53,-36.40396608341987,10.96652397257723,0.2771501351104961
14,0.0,56,-35.047716690224284,10.289348266509368,0.3208820759181634
13,0.0,55,-33.71835907860025,10.647275166902286,0.24730304623840713
15,0.0,57,-29.995339743322052,10.170779423768632,0.29481653386438395
16,0.0,58,-37.882181173305774,9.730644307948562,0.31826991960883294
17,0.0,59,-38.855375306134746,9.526765494477887,0.3239833741197208
18,0.0,60,-34.40865156938432,12.96229858189325,0.20287956810638633
20,1.0,42,-84.36707867990602,28.257855698302215,0.5926051331486043
19,0.0,61,-35.04328695111384,11.500456133198648,0.229051696315465
21,1.0,43,-99.10827805005697,23.930273332882784,0.5999296002194915
22,1.0,44,-90.53364441439685,39.31864651311833,0.5096936426990011
23,1.0,45,-118.71167081677577,31.893705375521193,0.543091479121265
25,1.0,47,-149.18873337644226,34.2205989712179,0.5632609868953994
24,1.0,46,-114.53953653277642,35.85427414827555,0.4521164116610638
26,1.0,48,-108.40323949838671,30.89104702532215,0.5347928824272871
31,1.0,53,-69.29125080242652,36.32766207949605,0.5158698027345343
29,1.0,51,-113.38754593904405,23.271785316088746,0.5846502643732041
27,1.0,49,-87.32862638917699,30.495966410423204,0.6113209502721413
28,1.0,50,-78.10681909382969,27.76396617368913,0.5781352910548258
32,1.0,54,-90.31307614117608,27.515338479617792,0.4657834671180166
30,1.0,52,-93.79324112980414,25.296793073026535,0.5844874965568359
33,1.0,55,-79.7869620524675,20.25446195159007,0.6650083626163754
34,1.0,56,-93.12609420448328,30.114614220266915,0.588758194807168
35,1.0,57,-86.40384044595297,37.00766588997444,0.5155937073802368
37,1.0,59,-81.78565856513254,26.738890852986167,0.5949276505030987
36,1.0,58,-95.74152536619958,19.361640888811227,0.640214543660838
38,1.0,60,-86.65480335577772,24.600504545686185,0.5422829722606418
39,1.0,61,-100.50836494175073,28.88126325177627,0.5983631035906862
