run_idx,w,lambda_loss,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
0,0.5,1,42,0.0,-128.1,0.5158669877768538,True,758.3582572045829,0.41085268245038825
1,0.5,1,43,0.0,-128.1,0.5165728289268111,True,1011.7102916424091,0.45122145855019236
2,0.5,1,44,0.0,-128.1,0.5173429937269243,True,548.1291854075896,0.5377333490894391
3,0.5,1,45,0.0,-128.1,0.5229070936751181,True,778.3385641255609,0.4256676671724034
4,0.5,1,46,0.0,126.90999999999963,0.2622771247739786,False,871.808281478447,0.45167167322375834
5,0.5,1,47,0.0,-128.1,0.5165791280650451,True,619.0019643843344,0.4648336365691617
7,0.5,1,49,0.0,-128.1,0.5314132341582017,True,746.6532689423303,0.45366730340398276
8,0.5,1,50,0.0,-128.1,0.5153191370466681,True,659.3388355276863,0.46941295753304774
6,0.5,1,48,0.0,-128.1,0.5208458755746784,True,596.3413350988318,0.5009569320986923
10,0.5,1,52,0.0,-128.1,0.5188447054617819,True,737.1822644725485,0.4048179395687886
9,0.5,1,51,0.0,-128.1,0.518289184051047,True,923.850796871783,0.4453490406402156
11,0.5,1,53,0.0,197.577,0.20143035364028075,False,849.2869876720287,0.40773157552521455
12,0.5,1,54,0.0,282.69750000000016,0.252613193272447,False,854.7442626779235,0.407736779596561
15,0.5,1,57,0.0,-128.1,0.519507414983065,True,813.1104310712243,0.43133991670150024
13,0.5,1,55,0.0,-128.1,0.5243769008931682,True,673.157978081771,0.4546511477002731
16,0.5,1,58,0.0,-128.1,0.5139874647024886,True,664.0471314932886,0.46038709762386787
14,0.5,1,56,0.0,-128.1,0.5182402578694825,True,564.3829495497919,0.5266448538272809
17,0.5,1,59,0.0,-128.1,0.5277165188516677,True,589.5924740218029,0.5156470629521924
18,0.5,1,60,0.0,-128.1,0.5121162746831248,True,593.8973297282162,0.4773269994900777
19,0.5,1,61,0.0,-128.1,0.5177674686837654,True,542.2144120642943,0.5434398523762695
21,0.65,1,43,119.76891756057739,70.07000000000048,0.33320390196801536,False,1057.6171687612507,0.4871000722050667
20,0.65,1,42,322.81411439180374,460.97000000000037,0.03710145484061332,False,942.9832969176464,0.5170734926389579
23,0.65,1,45,65.49611687660217,391.2731999999999,0.05758245095388339,False,915.36057878804,0.5086650810498967
22,0.65,1,44,9.258881211280823,-122.39999999999993,0.5173429937269243,False,832.5388095964393,0.5028763158390155
26,0.65,1,48,6.5786391496658325,52.18819999999997,0.4401658583359633,False,763.966600052923,0.469174539240507
24,0.65,1,46,184.7502738237381,465.32500000000016,0.02594115887956696,False,792.2872989111137,0.5423984472504538
25,0.65,1,47,0.0,-128.1,0.5165791280650451,True,607.3558363727016,0.5920117087025418
27,0.65,1,49,45.58882117271423,130.12079999999963,0.29633368771529006,False,848.3185505619756,0.4684956480995712
29,0.65,1,51,263.7187447398901,460.97000000000037,0.03715506805506245,False,931.1899230967899,0.5549581776667609
