w,seed,checkpoint,mean_S,profit,lost_sales,bullwhip,collapsed
0.8,43,150000,0.0,-121.7420000000001,0.5165728289268111,1.1825254883553349,0
0.8,43,300000,97.0500111579895,-58.575000000000024,0.45989516059409236,1.9091015222534888,0
0.8,43,600000,280.8494083583355,460.97000000000037,0.03799300701066997,4.636335926452752,0
0.7,47,150000,0.0,-128.1,0.5165791280650451,0.0,1
0.7,47,300000,60.29537320137024,-97.69000000000003,0.5003722315133211,0.2492412588026625,0
0.7,47,600000,241.57455004751682,460.97000000000037,0.03585400495866623,3.8788693435316297,0
0.8,42,150000,0.0,-127.15,0.5158669877768538,0.013314721936526507,1
0.8,42,300000,72.407066822052,335.9588999999999,0.16595291399826043,1.7625058900382142,0
0.8,42,600000,41.85497760772705,309.36980000000005,0.11621733503503465,0.852057514430199,0
0.7,48,150000,0.0,-128.1,0.5208458755746784,0.0,1
0.7,48,300000,0.0,-45.59040000000001,0.4401696239365728,0.02458006822247936,0
0.7,48,600000,0.0,392.16000000000037,0.1404068744165366,3.824321532148333,0
0.7,49,150000,0.0,-54.58319999999998,0.4636219630631703,0.026653427999253215,0
0.7,49,300000,36.997824907302856,-79.31529999999998,0.4871650809505499,0.01762115515790646,0
0.7,49,600000,285.0334383547306,460.97000000000037,0.05579236710804858,3.822023309252516,0
0.7,44,150000,0.0,-128.1,0.5173429937269243,0.0,1
0.7,44,300000,0.0,-128.1,0.5173429937269243,0.0,1
0.7,44,600000,0.0,-128.1,0.5173429937269243,0.0,1
0.7,43,150000,0.0,-128.1,0.5165728289268111,0.0,1
0.7,43,300000,0.0,-59.22359999999996,0.45341351158308585,0.04326263623401507,0
0.7,43,600000,271.5928740799427,460.97000000000037,0.03799300701066997,4.636335926452752,0
0.7,45,150000,46.501338481903076,-123.73440000000001,0.5189307934776197,0.00042394046951551456,0
0.7,45,300000,207.48213678598404,460.97000000000037,0.04147110747986096,3.951343354428915,0
0.7,45,600000,251.09035521745682,460.97000000000037,0.04147110747986096,3.951343354428915,0
0.7,46,150000,0.0,-128.1,0.508184749849319,0.0,1
0.7,46,300000,151.24168246984482,326.4070000000002,0.05876736609093823,1.4235414766481855,0
0.7,46,600000,280.2850119769573,460.97000000000037,0.02594115887956696,3.7481355504770297,0
