w,S_init,seed,converged_S,eval_mean_S,profit,collapsed,collapsed_fixed
0.5,0.0,45,2.680594088882208,68.61737370491028,-128.1,0,1
0.5,0.0,50,1.8292891949415209,87.87193894386292,-128.1,0,1
0.5,0.0,48,0.0555764377117157,0.0,-128.1,1,1
0.5,0.0,44,0.0190328657627105,0.0,-128.1,1,1
0.5,0.0,43,4.746209823340178,119.33563649654388,-128.1,0,1
0.5,0.0,42,0.659119912981987,0.0,-128.1,1,1
0.5,0.0,51,0.3016465812921524,0.0,-128.1,1,1
0.5,0.0,46,0.6269755154848099,0.0,-128.1,1,1
0.5,0.0,47,0.0986282169818878,0.0,-128.1,1,1
0.5,0.0,49,1.726510727405548,0.0,-128.1,1,1
0.5,0.0,52,0.4818110853433609,0.0,-128.1,1,1
0.5,50.0,45,2.5733761113882063,0.0,-128.1,1,1
0.5,50.0,43,7.3799937208369375,202.92996987700465,-128.1,0,1
0.5,0.0,53,1.0198149755597117,18.35806667804718,-128.1,0,1
0.5,50.0,44,0.0007226276397705,0.0,-128.1,1,1
0.5,50.0,46,0.4503223383426666,0.0,-128.1,1,1
0.5,50.0,42,0.67649343252182,0.0,-128.1,1,1
0.5,50.0,48,0.2707263326644897,0.0,-128.1,1,1
0.5,50.0,47,0.0417665976285934,0.0,-128.1,1,1
0.5,50.0,49,0.7512602066993713,0.0,-128.1,1,1
0.5,50.0,50,0.1393711376190185,0.0,-128.1,1,1
0.5,50.0,51,0.4242966037988662,0.0,-128.1,1,1
0.5,50.0,53,0.1415356040000915,0.0,-128.1,1,1
0.5,50.0,52,0.3561719876527786,0.0,-128.1,1,1
0.5,150.0,42,0.7405497181415558,0.0,-128.1,1,1
0.5,150.0,44,0.0070309817790985,0.0,-128.1,1,1
0.5,150.0,43,4.069703200161457,0.0,-128.1,1,1
0.5,150.0,45,1.1107905226945878,0.0,-128.1,1,1
0.5,150.0,46,0.9883004683256148,0.0,-128.1,1,1
0.5,150.0,47,0.0311131370067596,0.0,-128.1,1,1
0.5,150.0,50,0.2979530662298202,0.0,-128.1,1,1
0.5,150.0,49,0.4424001777172088,0.0,-128.1,1,1
0.5,150.0,48,0.7282162618637085,0.0,-128.1,1,1
0.5,150.0,51,0.6569116592407227,0.0,-128.1,1,1
0.5,150.0,53,0.1377376115322113,0.0,-128.1,1,1
0.5,250.0,43,2.8779881075024605,0.0,-128.1,1,1
0.5,150.0,52,0.4587624073028564,0.0,-128.1,1,1
0.5,250.0,42,0.8607325851917267,0.0,-128.1,1,1
0.5,250.0,44,0.0058333218097686,0.0,-128.1,1,1
0.5,250.0,45,2.2700276151299477,0.0,-128.1,1,1
0.5,250.0,47,0.0317161917686462,0.0,-128.1,1,1
0.5,250.0,46,1.2782233327627182,0.0,-128.1,1,1
0.5,250.0,48,0.1529905676841735,0.0,-128.1,1,1
0.5,250.0,49,0.4857180118560791,0.0,-128.1,1,1
0.5,250.0,50,0.1585701763629913,0.0,-128.1,1,1
0.5,250.0,52,0.5061867326498032,0.0,-128.1,1,1
0.5,250.0,51,0.9386735677719116,0.0,-128.1,1,1
