run_idx,w,lambda_loss,seed,algo,env,mean_reward,collapsed,final_value_loss,final_explained_variance
2,0.1,1,44,PPO,MPE_CoopNav,-215.55269541223464,True,101.83445951949314,0.6168537100350124
10,0.1,1,52,PPO,MPE_CoopNav,-276.6721283621816,True,84.6643719661709,0.7519822953872277
11,0.1,1,53,PPO,MPE_CoopNav,-176.75160098846328,True,85.46841677703566,0.6876455808485287
6,0.1,1,48,PPO,MPE_CoopNav,-206.71867990382708,True,112.21663065118459,0.5528146292985668
3,0.1,1,45,PPO,MPE_CoopNav,-210.79287664050244,True,105.5142030330382,0.6009991920711747
5,0.1,1,47,PPO,MPE_CoopNav,-164.25471613734894,True,119.99743517983738,0.5132282073496246
4,0.1,1,46,PPO,MPE_CoopNav,-274.9507904825897,True,94.61029797642087,0.6830174058709155
9,0.1,1,51,PPO,MPE_CoopNav,-196.58802432878696,True,136.13370824344025,0.5312983693242569
0,0.1,1,42,PPO,MPE_CoopNav,-288.1869659756185,True,92.82237608987603,0.6678480382188297
8,0.1,1,50,PPO,MPE_CoopNav,-146.3879309935166,True,123.08698535603537,0.4241393958474778
12,0.1,1,54,PPO,MPE_CoopNav,-166.1015381960229,True,134.8577593689844,0.4166400641794394
1,0.1,1,43,PPO,MPE_CoopNav,-279.0012146617131,True,118.63754042909025,0.6075461291840417
7,0.1,1,49,PPO,MPE_CoopNav,-212.25816245619558,True,123.28807511636451,0.5221298579055048
14,0.1,1,56,PPO,MPE_CoopNav,-180.65407659800854,True,164.35551684922353,0.38842460432026665
13,0.1,1,55,PPO,MPE_CoopNav,-146.39635946189537,True,151.48222059113726,0.331699686489818
16,0.1,1,58,PPO,MPE_CoopNav,-242.883212127356,True,78.04727093829999,0.7428624561335534
15,0.1,1,57,PPO,MPE_CoopNav,-206.4108222110076,True,82.64761714278964,0.7133365591270098
20,0.1,2,42,PPO,MPE_CoopNav,-196.6183696187382,True,566.9116215465316,0.4017667730890987
26,0.1,2,48,PPO,MPE_CoopNav,-219.54262996863008,True,490.13893709958126,0.5705102557023074
19,0.1,1,61,PPO,MPE_CoopNav,-147.6492865750051,True,169.86614064150677,0.3715780534985429
43,0.1,3,45,PPO,MPE_CoopNav,-231.06185389174817,True,1270.9990427321263,0.5353827670350118
22,0.1,2,44,PPO,MPE_CoopNav,-209.67632883443815,True,567.2785676942746,0.4802930854694982
31,0.1,2,53,PPO,MPE_CoopNav,-143.47832024156867,True,575.5001757817139,0.414003545311059
34,0.1,2,56,PPO,MPE_CoopNav,-125.41999590652884,True,567.8754630368437,0.38116886670893196
30,0.1,2,52,PPO,MPE_CoopNav,-177.289285379884,True,499.4494050911232,0.5364263560408286
17,0.1,1,59,PPO,MPE_CoopNav,-225.82989135066222,True,88.31033367400897,0.7257283919332275
41,0.1,3,43,PPO,MPE_CoopNav,-252.52657076489058,True,1258.6489426617738,0.5629997491197382
36,0.1,2,58,PPO,MPE_CoopNav,-212.46697718392005,True,482.55621010503154,0.5456346111102613
33,0.1,2,55,PPO,MPE_CoopNav,-161.33884619506006,True,664.3866975334939,0.37296389976323185
28,0.1,2,50,PPO,MPE_CoopNav,-238.26893502045942,True,514.9563800787956,0.5624481594850632
38,0.1,2,60,PPO,MPE_CoopNav,-277.26038149241873,True,365.1080560530346,0.7062571921842542
25,0.1,2,47,PPO,MPE_CoopNav,-265.1609568789729,True,389.95449663014483,0.6669380601767388
18,0.1,1,60,PPO,MPE_CoopNav,-274.5619097018275,True,84.66876124297764,0.7504366428153673
24,0.1,2,46,PPO,MPE_CoopNav,-226.10335208907577,True,425.70164346871996,0.6778572355104889
27,0.1,2,49,PPO,MPE_CoopNav,-243.38383839571557,True,512.9593142223724,0.5573281759513058
42,0.1,3,44,PPO,MPE_CoopNav,-224.4674906618655,True,1210.3710916685231,0.5320174299876913
39,0.1,2,61,PPO,MPE_CoopNav,-148.87396522016718,True,657.524319903585,0.3382269826058236
40,0.1,3,42,PPO,MPE_CoopNav,-184.66488177657814,True,1837.18428153894,0.2125851017126048
37,0.1,2,59,PPO,MPE_CoopNav,-222.4554133255105,True,496.97842461327116,0.6373012403596225
32,0.1,2,54,PPO,MPE_CoopNav,-130.4309330010783,True,661.5962137771781,0.30190881348850634
45,0.1,3,47,PPO,MPE_CoopNav,-142.79805335706504,True,1387.2806377122713,0.4618945631953421
35,0.1,2,57,PPO,MPE_CoopNav,-100.93129765371756,True,758.0982870221595,0.22949523968137944
44,0.1,3,46,PPO,MPE_CoopNav,-180.66869055558632,True,1610.462540630189,0.35827343876112283
48,0.1,3,50,PPO,MPE_CoopNav,-170.40805237393917,True,1600.6286212110333,0.2912617275698847
21,0.1,2,43,PPO,MPE_CoopNav,-152.91882248988742,True,478.56228677924247,0.5024987753676239
29,0.1,2,51,PPO,MPE_CoopNav,-248.00218013506947,True,560.33419478657,0.5012026745969103
46,0.1,3,48,PPO,MPE_CoopNav,-134.22992059348493,True,1762.9002340656239,0.22659277934080202
23,0.1,2,45,PPO,MPE_CoopNav,-245.57660003100128,True,429.01245331330745,0.6509390774274796
49,0.1,3,51,PPO,MPE_CoopNav,-217.14292697890247,True,1433.09625019728,0.4387336676718522
47,0.1,3,49,PPO,MPE_CoopNav,-177.72019546113935,True,1264.2261246719067,0.5007916789110773
76,0.15,1,58,PPO,MPE_CoopNav,-269.73426619957064,True,121.69322150074106,0.6218583501670295
80,0.15,2,42,PPO,MPE_CoopNav,-154.65422289445672,True,852.3942577865151,0.21579780047055855
77,0.15,1,59,PPO,MPE_CoopNav,-160.94539006169106,True,126.36880791892469,0.5067353198226069
81,0.15,2,43,PPO,MPE_CoopNav,-138.02522867658567,True,551.5743473933387,0.39005141723877185
63,0.15,1,45,PPO,MPE_CoopNav,-263.16619294347174,True,106.46965461516045,0.593045576297882
55,0.1,3,57,PPO,MPE_CoopNav,-287.67008446661805,True,962.602636520933,0.6815053493132702
70,0.15,1,52,PPO,MPE_CoopNav,-157.79285607340765,True,159.94289298075873,0.3089422095142467
62,0.15,1,44,PPO,MPE_CoopNav,-168.59433520903698,True,117.08328782326129,0.4927280941040812
50,0.1,3,52,PPO,MPE_CoopNav,-145.83512359445322,True,1476.6873296271212,0.3716984469009499
53,0.1,3,55,PPO,MPE_CoopNav,-224.73961312042493,True,1700.469095104086,0.30487661611255396
73,0.15,1,55,PPO,MPE_CoopNav,-256.88565647149755,True,202.72746840524613,0.33766315419050397
79,0.15,1,61,PPO,MPE_CoopNav,-239.99124071177593,True,145.93622769213516,0.5225208890499135
60,0.15,1,42,PPO,MPE_CoopNav,-170.57807103561305,True,139.79629588485832,0.4421042232236392
66,0.15,1,48,PPO,MPE_CoopNav,-146.1240229667147,True,161.89850755903998,0.42627478300781013
64,0.15,1,46,PPO,MPE_CoopNav,-239.03192885477984,True,89.20460581151382,0.7395479840974153
52,0.1,3,54,PPO,MPE_CoopNav,-127.29290778166373,True,1338.7007079584803,0.3314726735952951
54,0.1,3,56,PPO,MPE_CoopNav,-245.03750126944723,True,1275.348034014195,0.549265815870462
75,0.15,1,57,PPO,MPE_CoopNav,-235.70925632140478,True,98.99640466341135,0.6831913247165508
58,0.1,3,60,PPO,MPE_CoopNav,-255.95700379713884,True,1228.8103890706575,0.5603878287450624
59,0.1,3,61,PPO,MPE_CoopNav,-199.1289116386018,True,1603.9501261995636,0.4296068320725776
72,0.15,1,54,PPO,MPE_CoopNav,-158.33062253156896,True,132.93888420603798,0.5303534126522141
56,0.1,3,58,PPO,MPE_CoopNav,-267.66485955092287,True,1517.8282921193963,0.4039784124772161
78,0.15,1,60,PPO,MPE_CoopNav,-144.14706264656408,True,148.33813178566749,0.38432600799466216
82,0.15,2,44,PPO,MPE_CoopNav,-209.1445101694525,True,467.15079317642386,0.5882458905289939
51,0.1,3,53,PPO,MPE_CoopNav,-280.6954809461144,True,1170.3979794647569,0.5797729909458172
67,0.15,1,49,PPO,MPE_CoopNav,-268.14879476610963,True,100.55141999441436,0.664329515519658
74,0.15,1,56,PPO,MPE_CoopNav,-223.82815917527313,True,132.5507869925603,0.5430612646033761
65,0.15,1,47,PPO,MPE_CoopNav,-209.59377208048423,True,85.09119438172607,0.7094720222077376
69,0.15,1,51,PPO,MPE_CoopNav,-149.70523348363182,True,133.58712946523016,0.43077937627828916
68,0.15,1,50,PPO,MPE_CoopNav,-357.7301542307694,True,77.91067034012987,0.7723849929842941
57,0.1,3,59,PPO,MPE_CoopNav,-150.55147306404226,True,1835.1991368072745,0.2859280412484833
71,0.15,1,53,PPO,MPE_CoopNav,-163.2758898441038,True,110.45759954096873,0.5785205827479784
61,0.15,1,43,PPO,MPE_CoopNav,-162.41680185156576,True,130.79065976457312,0.4689305147606875
116,0.15,3,58,PPO,MPE_CoopNav,-279.06419868081383,True,1131.1518824407601,0.5931548209343387
114,0.15,3,56,PPO,MPE_CoopNav,-162.24533445238487,True,1419.7594007152602,0.430357628042849
115,0.15,3,57,PPO,MPE_CoopNav,-186.5504737555829,True,1562.9146875532886,0.4044942043759835
117,0.15,3,59,PPO,MPE_CoopNav,-135.35156752502877,True,1599.7225516537853,0.28676557829949373
129,0.2,1,51,PPO,MPE_CoopNav,-202.6422882208652,True,91.88858445630947,0.6100922513028151
131,0.2,1,53,PPO,MPE_CoopNav,-235.51495861752628,True,74.69579949765901,0.7445194321659497
120,0.2,1,42,PPO,MPE_CoopNav,-174.82207446675662,True,143.8524270741491,0.3198297384949866
127,0.2,1,49,PPO,MPE_CoopNav,-211.98033077939644,True,94.40152552220945,0.6520124250634188
130,0.2,1,52,PPO,MPE_CoopNav,-222.10430355034805,True,93.72590592258567,0.6626359388105829
169,0.2,3,51,PPO,MPE_CoopNav,-198.64200214763247,True,1718.0895115142898,0.2845001634014782
163,0.2,3,45,PPO,MPE_CoopNav,-204.27324803653772,True,1315.9660930489456,0.4225371882615184
107,0.15,3,49,PPO,MPE_CoopNav,-246.65213200326156,True,1171.5743639363523,0.5311802251266838
100,0.15,3,42,PPO,MPE_CoopNav,-145.46580289063974,True,1758.9294096039444,0.23106081250496924
97,0.15,2,59,PPO,MPE_CoopNav,-263.9187017134433,True,417.1167685728525,0.7003491311709703
168,0.2,3,50,PPO,MPE_CoopNav,-149.01640983266356,True,1613.9126215892015,0.3341694823806097
176,0.2,3,58,PPO,MPE_CoopNav,-198.7679957423304,True,1245.1869781745684,0.458593402110355
154,0.2,2,56,PPO,MPE_CoopNav,-165.25004950939677,True,628.6242423038018,0.36021543518376564
167,0.2,3,49,PPO,MPE_CoopNav,-172.53031165495082,True,1620.5505740406265,0.2915616631984863
171,0.2,3,53,PPO,MPE_CoopNav,-135.53977077736653,True,1641.8376048929406,0.21393451298779012
173,0.2,3,55,PPO,MPE_CoopNav,-135.15804661626927,True,1631.6348894365924,0.24695281493602733
164,0.2,3,46,PPO,MPE_CoopNav,-136.04175861489787,True,1738.2180800473338,0.05177853614206351
162,0.2,3,44,PPO,MPE_CoopNav,-280.78184640291204,True,1280.3145539542627,0.5132430495787292
88,0.15,2,50,PPO,MPE_CoopNav,-174.61010234567024,True,496.0263107750999,0.5161376427072035
157,0.2,2,59,PPO,MPE_CoopNav,-171.07591609192187,True,495.9960962212498,0.49921319456282104
175,0.2,3,57,PPO,MPE_CoopNav,-218.5584999687751,True,1312.3881450494332,0.5049488445655675
111,0.15,3,53,PPO,MPE_CoopNav,-215.676894660065,True,1395.6909939203008,0.4018805305236204
160,0.2,3,42,PPO,MPE_CoopNav,-161.83730408243048,True,1687.838826572941,0.13621935799775142
165,0.2,3,47,PPO,MPE_CoopNav,-209.78900328843991,True,895.6242920993996,0.6200673780386144
99,0.15,2,61,PPO,MPE_CoopNav,-195.3973791569151,True,710.1040317564706,0.3984268718493313
104,0.15,3,46,PPO,MPE_CoopNav,-244.80526802731728,True,1660.6542653654053,0.3052326785483983
86,0.15,2,48,PPO,MPE_CoopNav,-132.48140440568721,True,600.4990244772614,0.34914326420704933
177,0.2,3,59,PPO,MPE_CoopNav,-244.21857751498018,True,1075.7670624772047,0.5740628506315731
112,0.15,3,54,PPO,MPE_CoopNav,-148.70308928702363,True,1692.1913648949696,0.2573043828050245
108,0.15,3,50,PPO,MPE_CoopNav,-255.46389749145482,True,1432.683828452546,0.36910042155739137
83,0.15,2,45,PPO,MPE_CoopNav,-172.70764610286335,True,720.9979755710548,0.32675035834484156
106,0.15,3,48,PPO,MPE_CoopNav,-176.84533347847199,True,1133.6243969877,0.5214889692416875
90,0.15,2,52,PPO,MPE_CoopNav,-191.22622672853126,True,589.2142044311602,0.44135917606316366
158,0.2,2,60,PPO,MPE_CoopNav,-130.35657806554883,True,602.0730587271814,0.35422731219062276
149,0.2,2,51,PPO,MPE_CoopNav,-165.1377495578223,True,688.0530641321337,0.3088398855775786
105,0.15,3,47,PPO,MPE_CoopNav,-259.36745691865053,True,1093.6809030963884,0.6727846289642642
110,0.15,3,52,PPO,MPE_CoopNav,-202.4777753443007,True,1376.6357443837596,0.45136847288351356
136,0.2,1,58,PPO,MPE_CoopNav,-352.1695884727362,True,90.87962721777023,0.7285817624516928
92,0.15,2,54,PPO,MPE_CoopNav,-288.74753852151025,True,372.85924813368865,0.688596436195791
93,0.15,2,55,PPO,MPE_CoopNav,-258.542896635612,True,475.99223428535703,0.5988653140457373
96,0.15,2,58,PPO,MPE_CoopNav,-317.8617462312041,True,330.44910990285206,0.7421024934044071
95,0.15,2,57,PPO,MPE_CoopNav,-174.04414957294026,True,564.1820114770711,0.4623835016657311
98,0.15,2,60,PPO,MPE_CoopNav,-138.22774243919426,True,749.1206142745463,0.23565600679831988
91,0.15,2,53,PPO,MPE_CoopNav,-327.36864863399785,True,502.6054563990628,0.6214287970835168
101,0.15,3,43,PPO,MPE_CoopNav,-167.47537210643222,True,1098.8327908800445,0.47873279731839935
109,0.15,3,51,PPO,MPE_CoopNav,-128.29611085979008,True,1566.1075976465788,0.2350886786373263
85,0.15,2,47,PPO,MPE_CoopNav,-226.89312144415084,True,407.6765936882639,0.6926049138401443
133,0.2,1,55,PPO,MPE_CoopNav,-150.54063032218605,True,136.51291452168505,0.4159407336097902
146,0.2,2,48,PPO,MPE_CoopNav,-193.7666062596606,True,696.8757408161628,0.33547916101165376
113,0.15,3,55,PPO,MPE_CoopNav,-129.62430352454044,True,1898.7933400055208,0.17387104225219746
118,0.15,3,60,PPO,MPE_CoopNav,-128.14266415969055,True,2102.690988961194,0.11893030098626312
94,0.15,2,56,PPO,MPE_CoopNav,-215.14912880364568,True,533.8327621584513,0.5439944901025441
174,0.2,3,56,PPO,MPE_CoopNav,-157.47710090733312,True,1782.8574176949514,0.14181280002551255
102,0.15,3,44,PPO,MPE_CoopNav,-177.46818665586702,True,1892.962087921846,0.1726747906925431
103,0.15,3,45,PPO,MPE_CoopNav,-185.2062828255858,True,1882.4842460732455,0.2723317401156917
84,0.15,2,46,PPO,MPE_CoopNav,-219.81526103989685,True,522.8480489587357,0.5402413304232146
87,0.15,2,49,PPO,MPE_CoopNav,-300.7327859172499,True,396.46040498905086,0.6950498770984431
89,0.15,2,51,PPO,MPE_CoopNav,-140.21703659907573,True,751.9108466953078,0.13332854599600108
125,0.2,1,47,PPO,MPE_CoopNav,-285.588425585379,True,75.24813173437698,0.7511651366340919
170,0.2,3,52,PPO,MPE_CoopNav,-143.2091090004381,True,1381.755132382597,0.33560886744424107
119,0.15,3,61,PPO,MPE_CoopNav,-153.89080610294292,True,1768.4981468816118,0.2055793631435509
145,0.2,2,47,PPO,MPE_CoopNav,-243.11760471425163,True,362.51213153333583,0.6807108939268773
159,0.2,2,61,PPO,MPE_CoopNav,-168.49226444546872,True,638.3939529776726,0.36499758370974306
148,0.2,2,50,PPO,MPE_CoopNav,-158.59680621319188,True,649.7034298423005,0.29704922230654274
161,0.2,3,43,PPO,MPE_CoopNav,-154.26059147455112,True,1519.2022371655999,0.2919708565020607
139,0.2,1,61,PPO,MPE_CoopNav,-255.67992094878255,True,95.34495358683846,0.7029915045166958
126,0.2,1,48,PPO,MPE_CoopNav,-146.65315973695485,True,129.66295362294252,0.4266205931442495
150,0.2,2,52,PPO,MPE_CoopNav,-281.034931177655,True,428.43173453304126,0.6609830261779313
156,0.2,2,58,PPO,MPE_CoopNav,-193.8123473407863,True,529.8846605022494,0.45559301691919224
128,0.2,1,50,PPO,MPE_CoopNav,-142.96112407772054,True,173.05008955710065,0.3054155236951978
153,0.2,2,55,PPO,MPE_CoopNav,-162.00765209586697,True,565.457356245478,0.4124204524996644
155,0.2,2,57,PPO,MPE_CoopNav,-252.42009681891278,True,559.2554094171708,0.4656989991226056
151,0.2,2,53,PPO,MPE_CoopNav,-162.28541535082775,True,597.2711184936358,0.33562895637506407
172,0.2,3,54,PPO,MPE_CoopNav,-183.09650839420596,True,1439.7887810542243,0.34842235133261745
147,0.2,2,49,PPO,MPE_CoopNav,-233.87929789578985,True,429.1920653520259,0.6059310388430552
166,0.2,3,48,PPO,MPE_CoopNav,-121.87716062236714,True,1807.238051016169,0.15947234617229003
132,0.2,1,54,PPO,MPE_CoopNav,-181.15113768527826,True,114.69966873594498,0.4997914128110442
140,0.2,2,42,PPO,MPE_CoopNav,-140.9058390716065,True,646.2998185855021,0.2702338105012757
124,0.2,1,46,PPO,MPE_CoopNav,-153.24920393395766,True,128.32688387005035,0.4542774990220076
122,0.2,1,44,PPO,MPE_CoopNav,-237.90972370638983,True,105.53070900856916,0.6483221574568413
141,0.2,2,43,PPO,MPE_CoopNav,-183.26134339047877,True,687.7514778352119,0.28937764419063866
144,0.2,2,46,PPO,MPE_CoopNav,-194.91522974738515,True,714.1397698003108,0.3680453040707432
121,0.2,1,43,PPO,MPE_CoopNav,-133.5878475268345,True,117.76129205956502,0.4456437742588004
143,0.2,2,45,PPO,MPE_CoopNav,-233.2795822179497,True,406.8917614843415,0.6517996945359986
134,0.2,1,56,PPO,MPE_CoopNav,-241.78707092915005,True,133.740556310661,0.548426871678092
135,0.2,1,57,PPO,MPE_CoopNav,-278.92140421929207,True,72.92823153458697,0.763707977882974
138,0.2,1,60,PPO,MPE_CoopNav,-117.85477223037333,True,126.63018239261856,0.4178374079169369
137,0.2,1,59,PPO,MPE_CoopNav,-144.7342645707464,True,158.13976385648365,0.27902276416174426
142,0.2,2,44,PPO,MPE_CoopNav,-186.55182516234672,True,703.4507497393064,0.35436721294927537
178,0.2,3,60,PPO,MPE_CoopNav,-126.5815635499426,True,1836.6400035657896,0.13344259401747574
179,0.2,3,61,PPO,MPE_CoopNav,-250.33617480163358,True,1446.6429779719451,0.4151059569798114
180,0.25,1,42,PPO,MPE_CoopNav,-164.89119351615426,True,129.02639453923962,0.42800621722709203
181,0.25,1,43,PPO,MPE_CoopNav,-213.49473929040497,True,120.0287474152068,0.4305051298771488
268,0.3,2,50,PPO,MPE_CoopNav,-168.28283594220005,True,495.54012700140703,0.42032913064701
301,0.35,1,43,PPO,MPE_CoopNav,-118.25543108844673,True,135.69604961701148,0.33681668454683394
259,0.3,1,61,PPO,MPE_CoopNav,-219.7928768952958,True,122.73854353488943,0.5460229036893108
313,0.35,1,55,PPO,MPE_CoopNav,-177.87204021689072,True,123.89572858328093,0.45874993111723594
308,0.35,1,50,PPO,MPE_CoopNav,-232.16975834579074,True,96.8785082247132,0.5774979757385927
254,0.3,1,56,PPO,MPE_CoopNav,-281.19091070353204,True,78.25027261458804,0.7068238529160847
279,0.3,2,61,PPO,MPE_CoopNav,-144.73494262542516,True,716.9248433065475,0.21852236947047116
311,0.35,1,53,PPO,MPE_CoopNav,-167.61922536261676,True,104.06505115700746,0.4988473538671848
289,0.3,3,51,PPO,MPE_CoopNav,-130.92406525068338,True,1478.8325734464522,0.25532654852209263
307,0.35,1,49,PPO,MPE_CoopNav,-222.90103820543226,True,117.66507607225266,0.48210218543766326
286,0.3,3,48,PPO,MPE_CoopNav,-195.79689442223562,True,1102.4486423687806,0.5043354081359624
299,0.3,3,61,PPO,MPE_CoopNav,-282.3858306885685,True,1398.3554589005346,0.4811110316850865
261,0.3,2,43,PPO,MPE_CoopNav,-164.43531452639797,True,673.1465005395966,0.2757740442315534
287,0.3,3,49,PPO,MPE_CoopNav,-265.69571889872014,True,1117.0552751950204,0.5131751421109204
257,0.3,1,59,PPO,MPE_CoopNav,-195.80656921935537,True,113.27706961225762,0.5200782064944697
249,0.3,1,51,PPO,MPE_CoopNav,-142.7330848985056,True,86.42896550771674,0.5739527538361531
280,0.3,3,42,PPO,MPE_CoopNav,-133.22434833325755,True,1375.3072864908568,0.22999235089014494
264,0.3,2,46,PPO,MPE_CoopNav,-136.14729354937108,True,700.8479926782137,0.17509412310454664
248,0.3,1,50,PPO,MPE_CoopNav,-177.4698356331034,True,133.74184560033942,0.40439026374918396
275,0.3,2,57,PPO,MPE_CoopNav,-156.6875402513061,True,395.1006436088479,0.6283557948259286
260,0.3,2,42,PPO,MPE_CoopNav,-133.4757089246898,True,498.0801438758987,0.3790849975468865
278,0.3,2,60,PPO,MPE_CoopNav,-274.4502971174459,True,424.68437197989897,0.6222465648286035
292,0.3,3,54,PPO,MPE_CoopNav,-213.19501098569498,True,1309.439773605239,0.4291571200552197
265,0.3,2,47,PPO,MPE_CoopNav,-171.0226326548274,True,408.3640700403463,0.5946776298460253
291,0.3,3,53,PPO,MPE_CoopNav,-164.2951781851267,True,1244.0047558269182,0.455902456798413
347,0.35,3,49,PPO,MPE_CoopNav,-245.5314488969919,True,1064.345757245346,0.49689607301943967
232,0.25,3,54,PPO,MPE_CoopNav,-122.70843896340651,True,1317.4608421061926,0.3705324729935537
294,0.3,3,56,PPO,MPE_CoopNav,-206.2397116332666,True,1501.570678182448,0.4297607286013997
270,0.3,2,52,PPO,MPE_CoopNav,-255.08092453254767,True,434.3891726982883,0.64244918593667
283,0.3,3,45,PPO,MPE_CoopNav,-168.01535659812035,True,1225.2375831630868,0.5076977578391263
