w,k,n,frac,lo,hi
0.0,20,20,1.0,0.8388698745050667,1.0
0.1,20,20,1.0,0.8388698745050667,1.0
0.2,20,20,1.0,0.8388698745050667,1.0
0.3,20,20,1.0,0.8388698745050667,1.0
0.4,20,20,1.0,0.8388698745050667,1.0
0.5,20,20,1.0,0.8388698745050667,1.0
0.6,20,20,1.0,0.8388698745050667,1.0
0.7,17,20,0.85,0.6395767041130426,0.9476322080405041
0.8,11,20,0.55,0.3420820083075997,0.7418049791429071
0.9,4,20,0.2,0.0806563532712,0.41602172202575993
1.0,2,20,0.1,0.027865893984153206,0.30103820641179335
