LeadTime,Alpha,Mean_S,Std_S,Mean_Profit,Std_Profit,Mean_VLoss,Mean_ExpVar
0,0.0,0.1780273735523224,0.10173484039665379,-128.10000000000002,0.0,2279.0050565349,0.01920882331000434
0,1.0,19.620418453961612,3.9747032781923974,326.50723999999997,141.8331738956102,11707.3074913577,0.03080925941467285
1,0.0,0.07069878339767456,0.12469931952011425,-128.10000000000002,0.0,2231.0621678331163,0.016788118517296946
1,1.0,19.445221286565065,2.9255345745537156,93.25607999999998,274.87835480443636,10765.82774476228,0.01975897076802376
2,0.0,0.19211983621120454,0.16757559488594884,-128.10000000000002,0.0,2234.5444850076096,0.020025520345084688
2,1.0,20.953327087312935,4.041097733996969,283.83864000000005,238.75523269696606,10699.379127332899,0.017083410676727945
4,0.0,0.12401964366436005,0.10344653656587884,-128.10000000000002,0.0,2195.2154894480473,0.034195631334924294
4,1.0,21.454615798145532,3.053763157281454,389.43360000000007,75.11114794308496,9414.551813398833,0.011716941992441813
8,0.0,0.021900755763053892,0.019393323210572622,-128.10000000000002,0.0,2164.4308276210686,0.053597220090719364
8,1.0,25.878042016942054,4.99789003450569,309.13648,114.01982577454498,6822.879044429421,0.07678938451995197
