NumAverse,Phi,Seed,Mean S,Mean Order,Mean Inventory,Lost Sales,Profit,Bullwhip
0,0.0,44,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
0,0.0,51,146.2245136499405,1.0333333333333334,166.09892473118282,0.11320863598331261,286.84040000000016,1.2769454955160695
0,0.0,42,183.81772935390472,1.6622222222222223,155.01612903225805,0.03603385990479913,466.3858000000002,3.3871796559482674
0,0.0,45,137.43100315332413,2.305925925925926,159.66021505376344,0.18850224236208796,220.87500000000009,4.708114098905928
0,0.0,49,131.4917951822281,1.5814814814814815,166.88064516129035,0.23869797994793815,168.68700000000032,2.056013548776895
0,0.0,50,120.81438302993774,0.8622222222222222,172.48172043010752,0.20897999526786312,189.0924,0.5518222083782052
0,0.0,48,12.57912814617157,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
0,0.0,43,0.0,1.0711111111111111,174.10430107526884,0.2896293619648627,204.9191999999999,1.1111590966359706
0,0.0,46,145.72906494140625,2.094074074074074,157.67634408602152,0.11320863598331261,292.6020000000002,3.532763516341274
0,0.0,47,3.2001137733459473,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
1,0.16666666666666666,42,183.81772935390472,1.6622222222222223,155.01612903225805,0.03603385990479913,466.3858000000002,3.3871796559482674
1,0.16666666666666666,43,0.0,1.0711111111111111,174.10430107526884,0.2896293619648627,204.9191999999999,1.1111590966359706
1,0.16666666666666666,44,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
1,0.16666666666666666,46,145.72906494140625,2.094074074074074,157.67634408602152,0.11320863598331261,292.6020000000002,3.532763516341274
1,0.16666666666666666,45,137.43100315332413,2.305925925925926,159.66021505376344,0.18850224236208796,220.87500000000009,4.708114098905928
1,0.16666666666666666,47,3.2001137733459473,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
1,0.16666666666666666,48,12.57912814617157,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
1,0.16666666666666666,49,131.4917951822281,1.5814814814814815,166.88064516129035,0.23869797994793815,168.68700000000032,2.056013548776895
1,0.16666666666666666,50,120.81438302993774,0.8622222222222222,172.48172043010752,0.20897999526786312,189.0924,0.5518222083782052
1,0.16666666666666666,51,146.2245136499405,1.0333333333333334,166.09892473118282,0.11320863598331261,286.84040000000016,1.2769454955160695
2,0.3333333333333333,43,50.74895918369293,0.9044444444444445,172.7505376344086,0.19946404938911405,257.62919999999997,0.9266657641662528
2,0.3333333333333333,42,137.04176247119904,1.288148148148148,163.52795698924731,0.18850224236208796,234.12600000000006,1.5703577958642314
2,0.3333333333333333,44,0.0,0.0,196.59569892473115,0.5147745366701145,-128.10000000000002,0.0
