w,k,n,frac,lo,hi
0.2,20,20,1.0,0.8388698745050667,1.0
0.3,20,20,1.0,0.8388698745050667,1.0
0.4,20,20,1.0,0.8388698745050667,1.0
0.5,19,20,0.95,0.7638641064874331,0.9911187805671268
0.6,16,20,0.8,0.5839782779742401,0.9193436467288
0.7,8,20,0.4,0.21880396741419272,0.613422057684794
0.8,0,20,0.0,-1.3877787807814457e-17,0.16113012549493322
