w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.2,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1320.3455801504629,0.2316744261317783,300000
0.2,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1375.4452278419774,0.22846321010182047,300000
0.2,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1297.0461144645672,0.2391131983862983,300000
0.2,1.0,45,0.0,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,1,1303.0269950584127,0.23435665004783207,300000
0.2,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1298.0522840624863,0.22643854615525302,300000
0.2,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1289.3819297247123,0.2296748344714825,300000
0.2,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1591.672182836288,0.045336518022749156,300000
0.2,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1270.9133673034844,0.24173142932928526,300000
0.2,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,1373.8002899169921,0.19185881494966328,300000
0.2,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,1309.8909459518911,0.23450954615050912,300000
0.2,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,1281.3991809855838,0.2296849529967349,300000
0.2,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,1323.7661125248314,0.21583480215989626,300000
0.2,1.0,54,0.0,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,1,1338.4964719071347,0.22047610338936505,300000
0.2,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,1320.057094032744,0.2286385775376589,300000
0.2,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1294.6244862830877,0.22378114821054998,300000
0.2,1.0,57,0.0,-128.1,0.519507414983065,0.0,0.0,196.10860215053765,1,1339.320999906274,0.20467384159564972,300000
0.2,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,1359.32010621943,0.20113701481594998,300000
0.2,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,1293.434021917707,0.23039617370336485,300000
0.2,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,1332.7537208665808,0.2040839649927922,300000
0.2,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1305.9241887323537,0.2229404411254785,300000
