timestep,order_qty,inventory,lost_sales,true_reward
15000,1.8371131531894207,197.1111111111111,0.5106404185755721,-128.1
30000,1.8644592101789184,196.28315412186382,0.4969938532611174,-128.1
45000,1.853297030684924,196.66666666666666,0.5248974755909596,-128.1
60000,1.8966549341952559,195.77240143369173,0.5115415601664242,-115.27800000000003
75000,1.8602208182648425,195.51792114695343,0.5146691571326306,-115.27800000000003
90000,1.8989382091846148,195.65949820788532,0.4961116433151663,-105.76200000000001
105000,1.91333187985789,194.17383512544802,0.4956091545559866,-98.76199999999999
120000,1.9502879891553988,193.11111111111111,0.49029439820580417,-82.64499999999997
135000,1.9783045593987811,192.168458781362,0.47796312151762393,-73.16199999999998
150000,1.9810608469514233,192.752688172043,0.46084773401343426,-71.06933333333332
