lambda,seed,order_qty,inventory,lost_sales,profit
1.0,0,0.04502611985913029,196.26236559139784,0.49576096100613476,-121.77579999999996
1.0,1,0.0952188981572787,196.05698924731183,0.49344992218200145,-115.27799999999988
1.0,2,0.003337704994353569,196.3956989247312,0.5181163814216754,-128.10000000000002
1.0,3,0.22458741890059578,193.35268817204303,0.4646657691993406,-73.3249999999999
1.0,4,0.0527775244138859,195.01397849462367,0.5035189539113175,-110.37899999999999
3.0,0,0.001316113129120182,196.7494623655914,0.5023255782134051,-128.10000000000002
3.0,1,0.17152915133370294,194.69139784946236,0.45822920660853905,-78.29939999999998
3.0,2,0.06283431717781005,195.7741935483871,0.4991206497526835,-108.86699999999996
3.0,3,0.2860103017754025,192.5236559139785,0.44653874683941186,-53.0982
3.0,4,0.05394269024297871,196.13763440860217,0.5168473041418862,-128.10000000000002
5.0,0,0.0,196.7494623655914,0.5023255782134051,-128.10000000000002
5.0,1,0.2576452032725016,193.75053763440863,0.45095411028451826,-64.67899999999999
5.0,2,0.07500918848647012,196.3956989247312,0.5181163814216754,-128.10000000000002
5.0,3,0.2783093216904887,192.71827956989247,0.4646657691993406,-73.70099999999992
5.0,4,0.04208355033563243,196.13763440860217,0.5168473041418862,-128.10000000000002
10.0,0,0.0365593204067813,196.7494623655914,0.5023255782134051,-128.10000000000002
10.0,1,0.22171337968635338,194.85698924731182,0.45967976375757136,-82.11459999999997
10.0,2,0.13231791420115366,195.8301075268817,0.5021247049189747,-113.03720000000003
10.0,3,0.4546840222676595,191.5247311827957,0.44284964067141397,-41.65199999999997
10.0,4,0.3347958193560717,193.9483870967742,0.48048905693705474,-82.37599999999996
