experiment,weight,timestep,order_qty,inventory,lost_sales,true_reward
C0_w0.0,0.0,20000,0.0,221.5537634408602,0.8309498964880105,-362.73666666666674
C0_w0.0,0.0,40000,0.10238492091496786,221.46236559139786,0.835928597160649,-364.0600000000001
C0_w0.0,0.0,60000,0.0,221.71505376344086,0.8293145266732941,-363.13666666666677
C0_w0.0,0.0,80000,0.0,221.58602150537635,0.832331186967016,-363.4166666666667
C0_w0.0,0.0,100000,0.0,221.7311827956989,0.8290534761359947,-363.0600000000001
C1_w0.1,0.1,20000,0.09687852707475123,222.0501792114695,0.8270039226663584,-360.3256666666668
C1_w0.1,0.1,40000,0.01502901098944924,221.46236559139786,0.835928597160649,-364.0600000000001
C1_w0.1,0.1,60000,0.058371873135970094,221.71505376344086,0.8293145266732941,-363.13666666666677
C1_w0.1,0.1,80000,0.03457883218623171,222.0824372759857,0.8284128389549439,-361.0056666666667
C1_w0.1,0.1,100000,0.0,221.7311827956989,0.8290534761359947,-363.0600000000001
C2_w0.25,0.25,20000,0.035294527432533224,221.5537634408602,0.8309498964880105,-362.73666666666674
C2_w0.25,0.25,40000,0.2131828959843125,219.02688172043008,0.8145993147915335,-337.73100000000017
C2_w0.25,0.25,60000,0.25599573202280684,218.57526881720432,0.7832294488750834,-307.53366666666676
C2_w0.25,0.25,80000,0.2834340307598162,218.43906810035844,0.7870606074481103,-307.77366666666677
C2_w0.25,0.25,100000,0.17879634475843473,221.7311827956989,0.8290534761359947,-363.0600000000001
C3_w0.5,0.5,20000,0.22180470192071164,218.4068100358423,0.7853063685397733,-307.0936666666668
C3_w0.5,0.5,40000,0.17518032369664824,221.46236559139786,0.835928597160649,-364.0600000000001
C3_w0.5,0.5,60000,0.06073031330650503,221.71505376344086,0.8293145266732941,-363.13666666666677
C3_w0.5,0.5,80000,0.13836114193980742,221.58602150537635,0.832331186967016,-363.4166666666667
C3_w0.5,0.5,100000,0.11933115504004739,221.7311827956989,0.8290534761359947,-363.0600000000001
C4_w1.0,1.0,20000,0.030663889375599947,221.5537634408602,0.8309498964880105,-362.73666666666674
C4_w1.0,1.0,40000,0.17473827691541777,221.46236559139786,0.835928597160649,-364.0600000000001
C4_w1.0,1.0,60000,0.7162181930108504,220.90322580645162,0.740558080543407,-276.5096666666669
C4_w1.0,1.0,80000,1.1296506233889647,220.7347670250896,0.7434667160595345,-277.44766666666675
C4_w1.0,1.0,100000,1.1891745856313995,222.95340501792114,0.6997010114233871,-246.74999999999991
