run_idx,w,lambda_loss,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
0,0.5,2,42,0.0,-128.1,0.5158669877768538,True,2541.1835757133285,0.41848739717378575
1,0.5,2,43,0.0,-128.1,0.5165728289268111,True,2761.984905923262,0.3601151994214608
2,0.5,2,44,0.0,-128.1,0.5173429937269243,True,2517.523828872724,0.4098301565863638
4,0.5,2,46,0.0,-128.1,0.508184749849319,True,2644.5016053289432,0.39765986166576034
3,0.5,2,45,0.0,-128.1,0.5229070936751181,True,2375.168334404492,0.3901001629857426
5,0.5,2,47,0.0,-128.1,0.5165791280650451,True,2606.798291472084,0.41053510419069195
6,0.5,2,48,0.0,-128.1,0.5208458755746784,True,2643.5364650671977,0.38332579475946915
7,0.5,2,49,0.0,-128.1,0.5314132341582017,True,2573.231153061043,0.3872399456225909
8,0.5,2,50,0.0,-128.1,0.5153191370466681,True,2770.598695934328,0.35582221057425195
10,0.5,2,52,0.0,-128.1,0.5188447054617819,True,2619.0956581789546,0.39674396271634305
9,0.5,2,51,0.0,-128.1,0.518289184051047,True,2533.1906348073585,0.37829547486880905
11,0.5,2,53,0.0,-128.1,0.5149925463760175,True,2610.8256555106227,0.40747959077612966
12,0.5,2,54,0.0,-128.1,0.5174862706277183,True,2509.699093762694,0.42770057706496656
13,0.5,2,55,0.0,-128.1,0.5243769008931682,True,2675.7280247962713,0.37207653163335264
15,0.5,2,57,0.0,-128.1,0.519507414983065,True,2592.127380484122,0.40648691343446064
14,0.5,2,56,0.0,-128.1,0.5182402578694825,True,2624.6395220373424,0.4004162024292681
16,0.5,2,58,0.0,-128.1,0.5139874647024886,True,2823.9577690580977,0.3662021442547313
17,0.5,2,59,0.0,-128.1,0.5277165188516677,True,2652.344958000509,0.38757281521191966
20,0.65,2,42,0.0,-128.1,0.5158669877768538,True,2288.4868901440223,0.4164061977440475
19,0.5,2,61,0.0,-128.1,0.5177674686837654,True,2713.11186987722,0.3550539245335465
18,0.5,2,60,0.0,-128.1,0.5121162746831248,True,3290.6253397710643,0.17220724233959475
21,0.65,2,43,0.0,-128.1,0.5165728289268111,True,2449.890600264242,0.4194002287128033
22,0.65,2,44,0.0,-128.1,0.5173429937269243,True,3343.6389994825054,0.3819653041915506
23,0.65,2,45,2.9486119747161865,-128.1,0.5229070936751181,True,2245.650684611003,0.46024723417865926
24,0.65,2,46,0.0,-128.1,0.508184749849319,True,2779.89135835001,0.3990774880617093
25,0.65,2,47,0.0,-128.1,0.5165791280650451,True,3486.7943700458927,0.3644954623001763
28,0.65,2,50,34.432172775268555,-128.1,0.5153191370466681,False,3118.328743733028,0.41072261973451346
26,0.65,2,48,2.927049994468689,-128.1,0.5208458755746784,True,2803.6873153295273,0.4142727774496262
27,0.65,2,49,0.0,-128.1,0.5314132341582017,True,3460.1138692285263,0.3344452227664809
29,0.65,2,51,49.44781959056854,-128.1,0.518289184051047,False,2248.6878926921095,0.43030451152187127
30,0.65,2,52,0.0,-128.1,0.5188447054617819,True,2587.126800680568,0.4032311014767386
31,0.65,2,53,0.0,-128.1,0.5149925463760175,True,3740.308165377973,0.30239753406017256
32,0.65,2,54,0.0,-128.1,0.5174862706277183,True,3525.0476124777074,0.37910219167287534
33,0.65,2,55,0.0,-128.1,0.5243769008931682,True,3364.4445302370946,0.3286452578364784
35,0.65,2,57,0.0,-128.1,0.519507414983065,True,3452.0194445270417,0.3601754406769561
34,0.65,2,56,0.0,-128.1,0.5182402578694825,True,3590.302949749981,0.3407705075975157
36,0.65,2,58,0.0,-128.1,0.5139874647024886,True,3135.42851958533,0.3864226851325769
37,0.65,2,59,10.49572229385376,-114.83759999999998,0.5159792327920294,False,2423.8844424473255,0.4514047762649691
38,0.65,2,60,0.0,-128.1,0.5121162746831248,True,3562.1285806422225,0.29849455811274356
41,0.75,2,43,0.0,-128.1,0.5165728289268111,True,1854.8904087599185,0.4511181749085076
39,0.65,2,61,0.0,-128.1,0.5177674686837654,True,3298.9769940933274,0.4098656316343536
42,0.75,2,44,0.0,-56.63519999999993,0.4506418505453988,False,2439.8641646339,0.447005423088359
45,0.75,2,47,108.87601971626282,-19.5876999999999,0.41842915563245164,False,2899.4881357709223,0.42232100856609833
44,0.75,2,46,0.0,-77.63610000000008,0.46098870622624,False,1995.9465034821774,0.4613604714345728
